Week,    DateRange,PlannedEffort,ActualEffort,OtherDeadlines
4, 29th Jan -  4th Feb,Nothing      ,Nothing    ,Langproc 1st lab 
5,  5th Feb - 11th Feb,Research + Focus on LangProc labs,Understanding the lectures/completing the labs,
6, 12th Feb - 18th Feb,Initial groundwork & scheduling,Scheduling completed + very incomplete framework,"Lab Orals & report, DoC DB CW, DoC Networks CW, Langproc 2nd lab"
7, 19th Feb - 25th Feb,Achieving most of initial milestones,Built simple parser + flex file , 
8, 26th Feb -  4th Feb,Finishing inital and completing mid milestones,"Getting lots  of errors, very stuck","Langproc 3rd lab, DoC DB CW"
9,  5th Mar - 11th Mar,"Generating new ideas, implemetning ast + beginning translation",Developed a few new ideas,
10, 12th Mar - 18th Mar,"More development, thinking about codegen  ",Nothing    ,Maths Numerical Analysis CW
11, 19th Mar - 27th Mar,"Finishing touches, testing and preparation for final submission","Building and testing everything (24hr hack x3), finishing touches and preparation for final submission ",
